,speaker,utterance
5277,A,Yeah.
5278,A,"It's, uh,"
5279,B,"So, I have to be."
5280,B,That's that's kind of the way I feel about it.
5281,A,Yeah.
5282,A,"I usually, uh,"
5283,A,my wife handles a lot of the day to day finances
5284,A,"and of course, we're like like a lot of people."
5285,A,"We just scramble through month to month, you know."
5286,B,Yes.
5287,A,"And, uh,"
5288,B,Do you have a two income family or one income?
5289,A,"Uh, we have a two income uh family."
5290,B,Yeah.
5291,A,She also works
5292,B,Yeah.
5293,A,"and, uh, but she, she enjoys it"
5294,A,and she's good at it.
5295,A,"Uh, if it's, if it's,"
5296,A,"I am kind of, uh, uh, I'm pretty bad about procrastinating"
5297,B,Uh-huh.
5298,A,and one of these days I am going to do something about that
5299,B,Yeah.
5300,B,Yeah.
5301,A,"You know how that goes,"
5302,A,"but, uh, uh, if, she, she handles it pretty well."
5303,A,"She, uh she writes all the checks, you know, once a month."
5304,B,"So your wife,"
5305,B,Yes.
5306,B,It
5307,B,that
5308,B,what
5309,B,"her, is her career, uh, related to, to finance or accounting?"
5310,A,"Uh, sort of on a peripheral."
5311,A,"She's, uh, uh, an annuity administrator"
5312,B,Oh.
5313,A,"and so she, uh, she works for an insurance company."
5314,B,Uh-huh.
5315,A,"But, but she enjoys it."
5316,A,She likes keeping track of all that stuff
5317,A,"and, uh,"
5318,B,"Yeah,"
5319,B,so that's sort of related to her field a little bit.
5320,A,Yeah
5321,A,sort of.
5322,B,Yeah.
5323,A,"And we, you know, we've experimented with, with, uh, budgets, you know from time to time, uh,"
5324,A,"but, if, you know,"
5325,A,you have to keep up with them.
5326,A,"So a lot of times, we just, uh, just kind of play it by ear."
5327,A,"We try to keep our, uh, our retirement and our savings kind of automated"
5328,B,Yeah.
5329,A,so we never see that money.
5330,A,Just like taken directly.
5331,B,"It's just taking it out, right."
5332,B,Right.
5333,B,Yeah.
5334,A,Yeah.
5335,B,Yeah.
5336,B,We do the same thing.
5337,A,"And that, that's kind of handy."
5338,A,"Yeah,"
5339,A,"because if you don't see it, you don't miss it"
5340,B,"Yeah,"
5341,B,if
5342,A,You don't spend it.
5343,B,you have something to take it out.
5344,B,That's exactly what we've always done
5345,A,Yeah.
5346,B,"and we've had, uh, they've always had, uh, where they match your funds, you know,"
5347,B,"sometimes if you, if you save so much, then they will match it."
5348,A,Uh-huh.
5349,B,"Uh, that, you know, we've done that too."
5350,B,"But, my husband works for an insurance company"
5351,A,Uh-huh.
5352,B,"and he, he has now for about, oh gosh, how long has it been, ten years I guess."
5353,B,"But he was with another company before that,"
5354,B,"but we have, we have,"
5355,B,"I, I work also,"
5356,B,but I only have a part time job
5357,A,Uh-huh.
5358,B,and I get paid very little
5359,B,"but, uh, you know, I try to use that money for food"
5360,B,Jim gives me a certain amount money.
5361,B,"You know, we just transfer it into my account"
5362,A,Yeah.
5363,A,Uh-huh.
5364,B,"and then I use that for food, household expenses,"
5365,B,and then I add my own check to that
5366,B,"and then with that I try and handle, you know, some of the clothes that the girls need and things like that,"
5367,A,Yeah.
5368,B,but the expenses that we need and have around the house.
5369,A,Yeah.
5370,A,It  sounds like you all pretty much do it the same we do.
5371,B,So.
5372,A,"Just kind of play it by ear, but keep the, the deductions  you know"
5373,B,Yeah.
5374,B,"Yeah,"
5375,B,we
5376,B,"well Jim has, Jim has a budget."
5377,B,I mean he works it out every month and breaks it all down.
5378,A,Uh-huh.
5379,B,"Uh, you know. I am given so much money a month,"
5380,B,so I am suppose to kind of get the food out of that.
5381,A,Uh-huh.
5382,B,"So, I try not to, you know,"
5383,B,"we don't, you know, I don't ask for more."
5384,B,I mean I just try and make it on that.
5385,A,Uh-huh.
5386,A,Yeah
5387,B,"Because I think when you go to the grocery store, you can just, you can go crazy with all the choices that you have"
5388,A,Yeah.
5389,A,Uh-huh.
5390,B,"and, uh, you can, you can really waste a lot of money that way."
5391,A,Yeah.
5392,B,"So, uh, well how long have you been married?"
5393,A,"Uh, about five years."
5394,A,Yeah.
5395,B,"Oh, yeah."
5396,B,So you're just really getting started
5397,B,So do you have a family too?
5398,A,"Uh, I've got one little girl."
5399,A,"She's like, uh, nineteen months."
5400,B,Oh yeah.
5401,B,Yeah.
5402,A,"So, uh, she's, she's not, uh,"
5403,B,She hasn't effected your budget yet really.
5404,A,"Not, not really."
5405,A,Not too bad. Uh.
5406,B,No.
5407,B,Not like she will later on.
5408,A,Yeah.
5409,B,"You will see that  all of a sudden you're paying, you're trying to decide whether you are going to do, you know, soccer and piano and all these choices that they have of activities to do"
5410,A,Yeah
5411,A,"when,"
5412,A,Uh-huh.
5413,B,"and then you really have to start saying okay, now what can we afford you know,"
5414,A,Yeah.
5415,B,what can we do here
5416,B,and then you have to really sit down and plan some more
5417,B,"and, uh, but I think when we were back at your age, we didn't have much of a budget"
5418,A,Yeah.
5419,B,"and then as the girls got older, I think we, we did more and more of that."
5420,B,"You know, more budgeting as as they got older."
5421,A,Uh-huh.
5422,B,"Uh, but uh, but what do you do?"
5423,B,"Do you,"
5424,A,"I'm uh, I, I work for, I'm an electronic technician."
5425,B,"Oh, okay."
5426,A,"I work at a, for a university. Uh, Georgia Tech, uh, research"
5427,B,Oh.
5428,B,Well good.
5429,A,"and, uh,"
5430,B,Good.
5431,A,"So I just, uh,"
5432,B,"Well, we just have, you know, we have a good friend that's about to move to Atlanta."
5433,B,I guess we're not suppose to talk about those things.
5434,B,I'd better get back to the subject.
5435,A,"Oh, well"
5436,B,"But, uh, budgeting."
5437,B,"I found, you know, I feel a lot better."
5438,B,"You know, we use to work out of one check book"
5439,A,Uh-huh.
5440,B,"and it would be very hard for me because I wouldn't have, I wouldn't have any idea how much money I was spending in one month."
5441,A,Yeah.
5442,B,"Now, I have, know exactly what I'm spending"
5443,B,"and it's so much easier,"
5444,B,"Uh, well, having"
5445,B,of the reason going through the school system
5446,B,"I seem to be younger than most people who, who talk on this thing."
5447,B,"I'm, I'm just graduating graduating from college."
5448,B,"Uh, I didn't really perceive much of a, of a problem with the school system."
5449,B,"However, when you compare it to school systems like they have in Japan and"
5450,B,you can compare just about thing to Japan
5451,B,need to separate every th and we look like we don't have anything.
5452,B,"Uh, it seems to be not difficult enough for students. Not challenging enough. And just not generally competitive enough."
5453,B,"Uh, however, I, if it weren't for our needless, uh, competition with Japan, I, I'd, I'd think that, that, the school systems, system works at a pretty good pace."
5454,A,I don't know.
5455,A,"Uh, I haven't,"
5456,A,"it's been, uh, well seventy-nine since I was at school. At high school."
5457,B,Uh-huh.
5458,A,"And, uh, I've seen things change."
5459,A,"I don't know if I've seen things change enough that I can actually,"
5460,A,because I wasn't really like listening to the world go by back then
5461,A,so it's hard to compare.
5462,A,You know what I mean?
5463,B,Right.
5464,A,"But, uh, it seems like when I I lived in Chicago,"
5465,A,"I, I've lived down here."
5466,A,"I hear the dropout rates from the schools,"
5467,A,and I certainly see how much I pay in real estate taxes every year.
5468,B,Yeah.
5469,A,And I begin to wonder if I'm really getting my money's worth.
5470,B,Huh.
5471,A,"I mean, I, I've seen so many different things. So, so many different bad reports coming out of the school system"
5472,A,and I recognize that there are good schools out there.
5473,A,"I mean, somebody's  getting, getting a good education because we, continue to employ people."
5474,B,Right.
5475,A,"But, uh, I don't, I don't understand the, uh, I don't understand, I guess, why the schools seem to have such a high dropout rate in the big cities."
5476,B,"Uh, well, I don't pretend to understand that either."
5477,B,"Uh, but I'm not quite sure that it's the kind of thing that ought to be blamed on the schools."
5478,B,"But then, again, I'm not quite sure where the blame ought to be put. Uh, because the, the dropout rate is, in those areas,"
5479,B,"it's high in those areas where also there's poverty and, and crime."
5480,B,And they all seem to go together.
5481,B,"And it seems like if you could eliminate one of, of the parts of that circle, whether, where you have the dropout rate and crime and, you know, general poverty kind of conditions, that things ought to get better."
5482,B,"So, uh, the other two"
5483,B,"they're all three social issues and could be addressed by the government in any ways And clearly, to me, is a kind of government thing to, to fix"
5484,B,"but it's just like, I, I don't expect them to know which, which, which part is best to fix just like I don't know."
5485,B,"It's, it's a complicated issue."
5486,B,"I, I still don't think I would blame it directly on the school."
5487,A,I don't know if I blame it on the school.
5488,A,"I think, I think I blame it, I think I blame it on a couple of different things."
5489,A,"I think I blame it on the school system. Uh,"
5490,B,"Well, that's I meant when I said the school."
5491,A,Yeah.
5492,A,I don't blame it on the teachers in the school.
5493,A,"I, although I think that,"
5494,A,"I do know for a fact that some of the teachers that I know personally get paid an awful lot more than,"
5495,A,"well, they do quite well for themselves"
5496,B,Huh.
5497,B,"Well, that's odd because I don't think the teachers in my school district, uh, were well paid."
5498,A,No.
5499,A,Not all school districts are well paid.
5500,A,But there are some school districts out there that are very well paid.
5501,A,"I mean I know one family that's got,"
5502,A,"they're both teachers,"
5503,A,"and they both have, like second jobs that they work in the afternoons."
5504,B,Uh-huh.
5505,A,They both work all summer full-time.
5506,A,"And from their teaching job alone, they pull in forty grand each."
5507,B,Yeah.
5508,B,"Well, it, it,"
5509,A,I mean that family is making over a hundred grand.
5510,A,"And I'm,"
5511,A,"I mean, okay,"
5512,A,okay.
5513,A,"Yes,"
5514,A,I agree that teaching our kids is important.
5515,B,Right.
5516,A,"However, these people who only work eight hours day at it, from seven to three,"
5517,A,and they only work nine months a year
5518,A,and they get an awful lot of breaks in between
5519,A,and that's my tax dollars that I'm spending on that.
5520,A,And I don't even have kids
5521,B,"Yeah,"
5522,B,well that's true.
5523,B,"But there's,"
5524,B,"you can always play games with, uh, talking about, whoa, look at this."
5525,B,My tax dollars are paying for this.
5526,B,This is wrong.
5527,B,"But, when you're"
5528,B,and there's really not much you can directly do about that.
5529,B,"I think that, that if, if there is a problem with the school system, uh, from, it's been my perception that the school teachers and school officials are not that well, uh, paid. That perhaps that might be one area that, that could be improved."
5530,B,"Uh,"
5531,B,you have other professional jobs
5532,B,and this is a profession.
5533,B,"And, as a matter of fact, it's a pretty big influence on, on"
5534,A,"So, do you, your privacy being invaded at any time?"
5535,B,"Well, uh, one of the things that, uh, that I found to be, uh, an invasion is when I pay for something with a credit card and they ask me to put my telephone number on the, on the, uh, credit card bill."
5536,B,That  is something that is not required
5537,A,"Well,"
5538,A,Right.
5539,B,"and, in fact, uh, it is actually prohibited"
5540,B,"but it doesn't stop many people many people from, uh, from doing it."
5541,B,"And it's one of the things that it's used for, primarily, is for demographic, uh, research."
5542,B,"And to get your, your phone number on, uh, uh, lists for phone solicitations."
5543,A,Yeah.
5544,A,Yeah.
5545,A,"Now that you can still, yeah,"
5546,A,I've always done that.
5547,A,"I started,"
5548,A,once I found out that that's really not necessary or legal then I just refuse
5549,A,and I say what are you going to do.
5550,A,You going to say you don't want to sell me this product then  that's fine.
5551,B,Uh-huh.
5552,A,I'll just buy it somewhere else or not buy it at all.
5553,A,"And then, ultimately, they say, no"
5554,A,you don't have to put it down
5555,A,"But, uh, really it's part of this compliance thing."
5556,B,Uh-huh.
5557,A,"Uh, the thing I don't like,"
5558,A,"I know that certain states actually sell their, uh, their lists like, uh, motor vehicles."
5559,B,Uh-huh.
5560,A,"That really burns me because, hey, you're required."
5561,A,You have to do that.
5562,B,Right.
5563,A,And nowhere does it say you asks you whether you have permission or not to sell your name or information regarding that to anyone.
5564,B,Uh-huh.
5565,A,"And I think that, it, it's one thing to, uh, voluntarily give it because someone asks."
5566,A,You can always refuse
5567,A,but it's another thing where it's required by law
5568,A,"and then they go ahead and take that information and sell it to somebody.  You know,"
5569,B,Right.
5570,B,"Uh, That,"
5571,A,"I don't think, I don't think they have the right to do that."
5572,B,I agree with you there.
5573,B,"That's something that, uh, people have seen."
5574,B,"Oh, here's an easy way to make some money."
5575,B,"But, uh, I don't know if that's been challenged in the courts or not."
5576,B,"I, I've heard, fairly recently, uh, some talk about that in this, in, in my state."
5577,B,"Uh, the budget problems up here are, are pretty tense."
5578,B,"And people are looking for alternate ways of, uh,"
5579,B,"enhancing revenue is the, uh, phrase they use."
5580,B,And they were talking about selling the D M V lists
5581,B,"and there was a lot of, uh, a lot of, uh, consternation about that"
5582,B,and the last I heard they'd backed down from that idea.
5583,B,"But it really makes you wonder what other lists you're own that have been made, uh, public that you, don't know about."
5584,A,"Well, that's easy."
5585,A,Whenever you donate money to someone?
5586,B,Uh-huh.
5587,A,"They, you become, put on something like a sucker list"
5588,A,and you start getting millions of calls or solicitations.
5589,B,Right.
5590,A,And then you
5591,A,it kind of makes you feel from doing it again.
5592,B,Uh-huh.
5593,A,"Like, uh, National Public Radio or any of these, the public, uh, stations, you know."
5594,B,Uh-huh.
5595,A,"I, I, I, I think I sent in, in money for, once to, uh, to public, uh, T V."
5596,B,Uh-huh.
5597,A,And I started getting calls from all sorts of diseases and syndromes and everything you could imagine.
5598,B,Huh.
5599,A,"I,"
5600,A,it's like
5601,A,and it just started soon after I had done that one.
5602,B,Right.
5603,A,"And I just said this is, this is terrible"
5604,A,"Uh, and that's also happened to me where I've given money to my old Alma Mater in college."
5605,B,Uh-huh.
5606,A,"And, uh, it's one thing,"
5607,A,they don't sell the list.
5608,A,"But the thing that makes me mad is, uh, then they start getting, uh, other people,"
5609,A,the people do these phonathons
5610,B,Right.
5611,A,and they call you up
5612,A,"and they actually happen to be people who are, graduated in your class or something like that."
5613,A,"And, and they say, oh, we, we know you."
5614,A,"You, uh, had, uh, contributed x amount last year."
5615,A,Can you do better this year?
5616,A,"And, you know, like hold on here."
5617,B,How do you know that?
5618,A,"Who, how do you know that?"
5619,A,"Why, why you even telling me this?"
5620,A,Is it any of your business?
5621,A,"I mean, it's one thing that I, and the college knows that"
5622,A,"that's, just our business."
5623,A,There's no need for someone  who is soliciting should know at all.
5624,B,Uh-huh.
5625,A,"Just, uh,"
5626,A,and that was very offensive too.
5627,A,"I,"
5628,A,and so very
5629,B,"Last year, the, uh, Lotus Development Company, the, uh company that puts out One, Two, Three was planning on marketing a, uh, C D Rom with people's names sorted by number of different criteria."
5630,A,Uh-huh.
5631,A,Right
5632,B,One way or another we're now recording.
5633,A,Okay.
5634,B,"Um, um, oh, yeah."
5635,B,Home repair.
5636,A,You were helping your parents.
5637,B,Right.
5638,B,I still am really.
5639,B,"They're, uh, like some sort of sort of remodeling a house out in downtown Atlanta, in Candler Park."
5640,A,Uh-huh.
5641,B,"And, uh, we've done lots to it."
5642,B,We've taken out the glass and most of the windows and the sashes and replaced them.
5643,B,"And,"
5644,A,So you're remodeling?
5645,B,Uh-huh.
5646,A,Okay.
5647,B,How about you?
5648,A,"Well, I, I just live in a, I live in an apartment now."
5649,A,"I, uh, two summers ago I went to Massachusetts"
5650,B,Uh-huh.
5651,A,and I went with a friend of mine
5652,A,and we undertook a building house.
5653,B,Uh-huh.
5654,A,"And this was a, a Lincoln log house where you have the wall partitions"
5655,A,and it's preconstructed you might say.
5656,B,Uh-huh
5657,A,"And we started in, uh, we, started from an empty lot with, uh, trees and stuff on it"
5658,A,"and we had to cut them, uh, down and clear the lot."
5659,A,"We had to call in the excavators and have them dig the basement. Pour the basement and, uh, went from the ground up."
5660,B,Wow.
5661,A,"Our  one of our main problems was,"
5662,B,Wow.
5663,A,"well in Massachusetts, I thought I was going to,"
5664,A,"well, it was a, a fun time"
5665,A,"but  I thought, gosh, summer time, you know."
5666,B,Uh-huh.
5667,A,"Well, all it ever did was rain and thunder storms"
5668,A,"And one thing is that we're, we had, we were going to pour the basement foundation."
5669,B,Uh-huh.
5670,A,And we're in the process
5671,A,and it started pouring down rain.
5672,B,Huh.
5673,A,And I guess we had most of it done
5674,A,"but the end was result,"
5675,A,"what happened was that some of the, the a lot of water settled on the top"
5676,A,and it really didn't give a very good finish
5677,A,"and some of the,"
5678,A,"it was sort of sandy and  and not, uh, a very good finish."
5679,B,Uh-huh.
5680,B,Uh-huh.
5681,A,"But it turned, it was okay"
5682,A,and it's only the basement floor
5683,A,so it was okay.
5684,B,Yeah.
5685,A,"But, uh, it kept us pretty busy."
5686,A,"It was only, uh,"
5687,A,"there was, well me and my friend"
5688,A,"and then we just had like two helpers and  uh, sort of a, a family type,"
5689,B,Uh-huh.
5690,A,"it wasn't, you know, like a commercial project or something."
5691,A,"It was sort of just, you know, uh, gets your, get his, you know, my my brother and well, maybe, you know, my cousin's coming over today to help us do that  kind of thing. So that the scheduling and everything was kind of hectic sometimes."
5692,B,Uh-huh.
5693,B,Wow.
5694,A,"And, and then materials coming in"
5695,B,Uh-huh.
5696,A,"and so we're, we're hopping around pretty good."
5697,A,"But overall, yeah, we got it done"
5698,A,"and it's a three bedroom, two bath house"
5699,A,and it's pretty neat.
5700,B,Nice.
5701,A,Yeah.
5702,A,So.
5703,B,Nice.
5704,B,"So, uh, I mean what was it for?"
5705,B,"You just,"
5706,A,"Well, it was, uh, for my friend's parents."
5707,A,They had some property there
5708,A,"and they'd lived in this, this old,"
5709,A,"it's sort of like a farm, you might say."
5710,A,And they live in this old house for something like thirty years or something.
5711,B,Uh-huh.
5712,A,"And his mom just wanted a, a new house. You know,"
5713,B,Uh-huh.
5714,A,that has been her dream.
5715,A,"And so, we did that."
5716,A,"And, uh, she was really pleased with it."
5717,A,So it came  really great
5718,B,That's great.
5719,A,so.
5720,B,Wow.
5721,A,"So what, why is it that the weather in Atlanta that gets very hot."
5722,B,Huh?
5723,A,Where you live it gets very hot?
5724,B,"Yeah,"
5725,B,it does.
5726,A,"And that's why you,"
5727,A,"and the windows have you, what type of windows are you putting in?"
5728,B,Huh.
5729,A,"Because the windows are something that is conducive to temperature changes in, uh, you know, the solar game?"
5730,B,Right.
5731,A,"Have you,"
5732,A,"what, what, are you putting in triple glaze or double glaze or,"
5733,B,No.
5734,B,"We just, we just went into a building supply store and bought plate glass."
5735,B,My parents do not have a whole lot of money to put into it.
5736,A,"Oh, okay."
5737,A,Okay.
5738,B,"And, uh, but it,"
5739,B,see in a lot of the windows?
5740,A,Uh-huh.
5741,B,"Uh, it's, the house is eighty years old"
5742,B,and it's had several owners and stuff
5743,B,"and, uh  they have put plastic, Plexiglas kind of stuff in some of the windows."
5744,A,Okay.
5745,A,"Oh, these"
5746,A,so you have the sash windows in?
5747,B,Uh-huh.
5748,A,"Did uh, did it go up and down?"
5749,B,Uh-huh.
5750,A,"Oh, I see."
5751,B,Yeah.
5752,B,"And so, uh, and, and so we wanted to get all new stuff in there."
5753,A,Uh-huh.
5754,B,So.
5755,A,"Yes,"
5756,A,there's a problem with those.
5757,A,"Those are, uh,"
5758,A,they usually most of the time don't open very well
5759,B,Yeah.
5760,B,Ours didn't
5761,A,Uh-huh.
5762,B,"And the ones that would open, uh, wouldn't want to stay open"
5763,B,They wanted  to slam shut.
5764,A,Uh-huh.
5765,A,Uh-huh.
5766,A,"And they also, there, they, they,"
5767,A,a lot of vibration
5768,A,and it causes the glass to crack
5769,A,and it's  a never ending problem.
5770,B,Uh-huh.
5771,B,Uh-huh.
5772,B,Yeah.
5773,A,"So. So I haven't, uh, I haven't been in any really home repair things lately."
5774,A,"I,"
5775,A,"Uh, being a former drug user I, uh, I, I guess I have to say at this point, that I do approve of it."
5776,B,Whoa.
5777,B,Uh-huh.
5778,A,"Uh, because I know that, uh, in using drugs I was not a good employee."
5779,B,Uh-huh.
5780,A,"And so I can see from the company's standpoint that there, uh,"
5781,A,"whenever you are an employee of the company, you are using its assets,"
5782,A,"and, uh, you are also under their liability, under the Workmen's Comp."
5783,B,Uh-huh.
5784,A,"Uh, on my job we had a lot of Workmen's Comp cases"
5785,B,Where do you work?
5786,B,Oh.
5787,A,"And, uh, it's also a retreading plant,"
5788,A,"and that's where most of our, uh, injuries occur."
5789,B,Uh-huh.
5790,A,"And what we do is we'll have a drug test if an, if a, a break or a man, uh, has an accident."
5791,A,"Then he's automatically, uh, given a drug test."
5792,B,Right.
5793,B,"Do they do it, like, you know, within hours of the accident,"
5794,B,or is it?
5795,A,"Yes,"
5796,A,when he goes to the doctor the first time.
5797,B,Yeah.
5798,A,"And so, that kind of, uh,"
5799,A,"I don't know if it's been a deterrent or not, because we have, uh, just started using it oh, for the past year or so."
5800,B,Uh-huh.
5801,B,Yeah.
5802,A,"Now we've let some people go, uh, that we, was found that drugs were used in their system."
5803,A,"Now, I don't know how T E C would handle it."
5804,A,"They haven't pursued it, you know."
5805,B,Uh-huh.
5806,A,"Uh, if there's some, uh, problem I know,"
5807,A,"there was one guy that we tested for preemployment for drugs who absolutely swore up and down that it showed that he was using amphetamines,"
5808,A,"and he went to a, a separate drug testing firm,"
5809,B,Yeah.
5810,A,and they showed it negative.
5811,B,Huh.
5812,A,"So I think the tests themselves are not really that cut and dried, you know."
5813,B,Yeah.
5814,B,"Yeah,"
5815,B,"I think that's probably true, too."
5816,B,"That's, that's, that's sort of scary."
5817,A,"Uh-huh,"
5818,A,really.
5819,A,And then I also had a friend who was just around some people that were smoking cocaine.
5820,B,Yeah.
5821,A,And he tested positive on cocaine.
5822,A,"Now then you always wonder, well is he just saying that"
5823,B,"Yeah,"
5824,B,"yeah,"
5825,B,"really,"
5826,B,really.
5827,A,Yeah.
5828,B,"Yeah,"
5829,B,"that's, that's a bad situation."
5830,B,"I think that probably, I think most companies now, as far as entry, you know, exams require that."
5831,A,Uh-huh.
5832,A,Yeah.
5833,B,I think they should.
5834,A,Uh-huh.
5835,B,I'm a T I employee
5836,B,"and and, and, uh, I'm, I'm really gung ho for it."
5837,A,Uh-huh.
5838,B,"In fact I, you know,"
5839,B,"some of the places now, um, like I B M don't allow them smoking, you know in, in the plant."
5840,A,Uh-huh.
5841,A,Right.
5842,B,"We, we have designated smoking areas."
5843,A,Yeah.
5844,B,"But, um, I work in sort of a building that's, that's not really, well"
5845,B,"it's on the campus of the T I facility,"
5846,B,"but it's a little bit, you know, separated."
5847,B,We lease the building.
5848,B,"And it's, it's a factory environment."
5849,A,Uh-huh.
5850,B,"And, uh, they, they have designated smoking,"
5851,B,"but it's just wide open,"
5852,B,it's not ventilated properly
5853,A,Yeah.
5854,B,and I think that's bad.
5855,B,"But as far as the drugs, you know, being in the factory kind of environment that way I think it's a, it's a definite, I think it's essential."
5856,A,"Uh-huh,"
5857,A,uh-huh.
5858,A,"Yeah,"
5859,A,because you're endangering everybody's lives if you if it's something like that.
5860,B,Yeah.
5861,B,"In fact we've had the policy on just the random testing now for a couple years,"
5862,A,Uh-huh.
5863,B,"and, uh, I, I was giving my boss a hard time because I kept waiting for my name to came, come up, you know,"
5864,B,"they never, they never called me,"
5865,B,"they never, you know,"
5866,B,"and finally, the day we declared war was my time"
5867,A,You're kidding
5868,B,No
5869,B,"And so, and, and my boss has, has gone for about like three times, I think."
5870,B,And I told him he's obviously in a high risk group
5871,A,"The executives, right?"
5872,B,"Right,"
5873,B,"right,"
5874,B,"and of course, you know, they did being moved around and making specifically single them out when we started, you know, that they were going to do all them first."
5875,A,The executives?
5876,B,Uh-huh.
5877,A,Yeah.
5878,A,"Wouldn't that be awful if you were  if you were using, and, and oh, lose your job and everything."
5879,B,Which I thought was interesting
5880,B,"Oh, man,"
5881,B,yeah.
5882,B,"Ooh, yeah."
5883,A,I can't believe I was so brazen before.
5884,A,"I, like I say, I'm a former drug user,"
5885,B,Uh-huh.
5886,A,"but, uh, I, I, well, I, I accepted Christ as my Lord and Savior,"
5887,A,and so I don't use drugs any more.
5888,B,"Oh, what kind of drugs did you use, if you don't mind?"
5889,A,"Uh, marijuana, cocaine and amphetamines."
5890,B,Wow!
5891,A,"Um, yes,"
5892,A,uh-huh
5893,A,"And all on the job, too."
5894,B,Really?
5895,A,"You know, it had gotten that bad."
5896,B,"Well, it's really lucky that you got away from that."
5897,A,"Really,"
5898,B,"Cause that's really,  downward spiral."
5899,A,"it's, it's"
5900,A,life is so much more enjoyable.
5901,A,Uh-huh.
5902,A,"And I was losing jobs just from doing a poor job, you know."
5903,B,Yeah.
5904,B,"Yeah,"
5905,B,"that's, that's it."
5906,A,"I mean, you know, there's all kinds of drawbacks, much less the drug testing."
5907,B,Yeah.
5908,B,Just life in general.
5909,A,"Uh-huh,"
5910,A,that's right.
5911,B,"Yeah,"
5912,B,"well, well I'm definitely for it."
5913,A,Yeah.
5914,B,"Plus, you know, you, you want to think that, that you're working with people who are not only putting out their fair share, but that are not endangering your life,"
5915,A,That's right.
5916,B,in some cases
5917,A,"Uh-huh,"
5918,A,uh-huh.
5919,B,"like, uh, my husband, uh, several years back, worked for Motorola."
5920,A,Uh-huh.
5921,B,"And they had, you know,"
5922,B,I mean it was a chemical handling type.
5923,A,"Oh, goodness."
5924,B,"Yeah,"
5925,B,"I mean, and they have, they have some serious chemicals out there you know,"
5926,A,Yeah.
5927,B,"like they have emergency shower where you just run in there and strip off and dump water, you know, that kind of thing."
5928,A,Yeah.
5929,B,And they had people out there using all sorts of drugs handling those chemicals.
5930,A,"Oh, my gosh."
5931,B,"And that's really, that's really frightening."
5932,A,Yeah.
5933,B,"So I think some place, you know, places like that, it should be like mandatory like, you know, on, on a, on a greater frequency than maybe, just, you know, paper pushers like, like I am."
5934,A,Uh-huh.
5935,A,"Right,"
5936,A,I would think there would be.
5937,B,"Well, well you'd think so"
5938,B,"but, uh,"
5939,A,But they weren't?
5940,B,I don't know if they do it till yet.
5941,A,Isn't that awful.
5942,B,"Because when he was at,"
5943,B,"course now it's been years now, because it was before, it was even before they had the, the designated smoking  type stuff, you know, at T I."
5944,A,"Uh-huh,"
5945,A,uh-huh.
5946,B,"I forgot what,"
5947,B,"I guess it was like eighty-four, eighty-five something like that."
5948,A,Yeah.
5949,B,"And they, at that time, they had no testing whatsoever."
5950,A,Huh.
5951,B,So that's scary
5952,A,Yeah.
5953,A,"That reminds me of, uh,"
5954,A,"I have a friend who was telling me about her brother who gets high all the time,"
5955,A,and I have just casually asked her what he did for a living.
5956,A,"And she said, Oh, he's the supervisor of this chemical land fill, you know  where they go and dump all this toxic stuff."
5957,B,"Oh, Lord."
5958,B,Oh.
5959,A,"And I just, you know, went, Oh, where?"
5960,B,"Yeah,"
5961,B,should we move?
5962,A,Let me move as far away as possible.
5963,B,Ooh.
5964,A,"Yeah,"
5965,B,That's awful.
5966,A,"But, I'm proud, though, that, that, um, you know, I grew up in the sixties,"
5967,A,"and back then it was popular you know,"
5968,B,Uh-huh.
5969,B,Yeah.
5970,A,"but people have really wizened, you know, become wise about drugs"
5971,B,Yeah.
5972,A,"and they really have a good campaign for the young people, you know."
5973,B,Uh-huh.
5974,A,"They know it's not smart,"
5975,A,"so. So, I guess it was just a generational thing."
5976,B,Yeah.
5977,B,"Yeah,"
5978,B,"peer group is the other way now instead of,"
5979,A,"That's right,"
5980,A,and that's good.
5981,B,"Uh-huh,"
5982,B,"that's,"
5983,A,That's the best way to stop it.
5984,B,"Yeah,"
5985,B,"that, it really is."
5986,A,"Yeah,"
5987,A,"well, I think we did it."
5988,B,Okay.
5989,A,So it's good talking to you.
5990,B,"Well, I enjoyed talking to you, Cathy."
5991,A,"Yeah,"
5992,A,bye-bye
5993,A,"Okay,"
5994,A,"are you on any kind of, uh, regular exercise plan?"
5995,B,"I, I, yeah, I'm, yeah, I, I do aerobics, uh, step classes and, uh,  toning classes,"
5996,A,Step classes?
5997,B,yes.
5998,A,What's that?
5999,B,"It's, uh, it's a new, uh, form I think,"
6000,B,"uh, it's like low impact aerobics"
6001,B,"but at, it ..."
6002,A,"Oh, instead of hopping and jumping you just step"
6003,B,Uh-huh.
6004,B,"Yeah,"
6005,B,"you, you have a step"
6006,B,"and you literally step up on the step and move your arms,"
6007,B,"it's, it's, it's, it's new,"
6008,A,Huh.
6009,B,it's fun.
6010,A,I probably couldn't do that because of my knee
6011,B,"Uh-huh,"
6012,B,bad knee
6013,A,Yeah.
6014,B,"Um, and, uh, I do toning a lot and, uh, some,"
6015,B,"every once in a while I play tennis,"
6016,A,Yeah.
6017,B,I'm not too great at it
6018,B,"but I, I try to play,"
6019,A,"Yeah,"
6020,A,"I've, I've kind of gotten out of the habit myself,"
