,section,text
5664,METHODS,"Data will be collected at baseline , 6 , and 12 months ."
5665,METHODS,"Primary outcome is the patient-reported change of depressive symptoms ( Patient Health Questionnaire , PHQ-9 ) ."
5666,METHODS,"Secondary outcomes include measures of quality of life , anxiety , depression-related behavior , problem-solving skills , resilience , and an overall economic evaluation of the program ."
5667,CONCLUSIONS,"The GermanIMPACT trial will provide evidence about the effectiveness , feasibility , and cost-effectiveness of collaborative stepped care in treating late-life depression in German primary care ."
5668,CONCLUSIONS,Positive results will be a first step toward integrating specialized depression care managers into the primary care setting .
5669,BACKGROUND,German Clinical Trials Register : DRKS00003589 ( September 2012 ) .
5670,BACKGROUND,Probiotic supplementation significantly reduces the risk of necrotising enterocolitis ( NEC ) and all cause mortality in preterm neonates .
5671,BACKGROUND,Independent quality assessment is important before introducing routine probiotic supplementation in this cohort .
5672,OBJECTIVE,"To assess product quality , and confirm that Bifidobacterium breve ( B. breve ) M-16V supplementation will increase fecal B. breve counts without adverse effects ."
5673,METHODS,"Strain identity ( 16S rRNA gene sequencing ) , viability over 2 year shelf-life were confirmed , and microbial contamination of the product was ruled out ."
5674,METHODS,In a controlled trial preterm neonates ( Gestation < 33 weeks ) ready to commence or on feeds for < 12 hours were randomly allocated to either B. breve M-16V ( 3109 cfu/day ) or placebo ( dextrin ) supplementation until the corrected age 37 weeks .
5675,METHODS,Stool samples were collected before ( S1 ) and after 3 weeks of supplementation ( S2 ) for studying fecal B. breve levels using quantitative PCR ( Primary outcome ) .
5676,METHODS,Secondary outcomes included total fecal bifidobacteria and NECStage II .
5677,METHODS,"Categorical and continuous outcomes were analysed using Chi-square and Mann-Whitney tests , and McNemar and Wilcoxon signed-rank tests for paired comparisons ."
5678,RESULTS,"A total of 159 neonates ( Probiotic : 79 , Placebo : 80 ) were enrolled ."
5679,RESULTS,Maternal and neonatal demographic characteristics were comparable between the groups .
5680,RESULTS,"The proportion of neonates with detectable B. breve increased significantly post intervention : Placebo : [ S1 :2 / 66 ( 3 % ) , S2 : 25/66 ( 38 % ) , p < 0.001 ] Probiotic : [ S1 : 29/74 ( 40 % ) , S2 : 67/74 ( 91 % ) , p < 0.001 ] ."
5681,RESULTS,"Median S1 B. breve counts in both groups were below detection ( < 4.7 log cells x g ( -1 ) ) , increasing significantly in S2 for the probiotic group ( log 8.6 ) while remaining < 4.7 log in the control group ( p < 0.001 ) ."
5682,RESULTS,There were no adverse effects including probiotic sepsis and no deaths .
5683,RESULTS,NECStage II occurred in only 1 neonate ( placebo group ) .
5684,CONCLUSIONS,B. breve M-16V is a suitable probiotic strain for routine use in preterm neonates .
5685,BACKGROUND,Australia New Zealand Clinical Trial Registry ACTRN 12609000374268 .
5686,OBJECTIVE,To investigate the effect of manual physiotherapy and exercises compared with exercises alone in patients with shoulder impingement syndrome one year after inclusion .
5687,METHODS,Randomized controlled trial .
5688,METHODS,Patients with shoulder impingement of more than 4 weeks .
5689,METHODS,The intervention group received individualized manual physiotherapy plus individualized exercises ; the control group received individualized exercises only .
5690,METHODS,Both groups had 10 treatments over 5 weeks ; afterwards all patients continued their exercises for another 7 weeks at home .
5691,METHODS,Primary outcomes were the Shoulder Pain and Disability Index and Patients ' Global Impression of Change .
5692,METHODS,The Generic Patient-Specific Scale was used as secondary outcome .
5693,METHODS,Costs were recorded in a log-book .
5694,RESULTS,Ninety patients were included in the study and 87 could be analyzed at 1-year follow-up .
5695,RESULTS,"Both groups showed significant improvements in all outcome measures , but no difference was detected between the groups ."
5696,RESULTS,Only costs differed significantly in favour of the control group ( p = 0.03 ) after 5 weeks .
5697,CONCLUSIONS,Individualized exercises resulted in lower costs than manual physiotherapy and showed a significant effect on pain and functioning within the whole group after one year .
5698,CONCLUSIONS,Exercises should therefore be considered as a basic treatment .
5699,CONCLUSIONS,Due to the progressive improvement that occurred during the follow-up period with individualized exercises further treatments should be delayed for 3 to 4 months .
5700,BACKGROUND,"Dengue infection is the most common mosquito-borne viral disease worldwide , but no suitable antiviral drugs are available ."
5701,BACKGROUND,We tested the - glucosidase inhibitor celgosivir as a treatment for acute dengue fever .
5702,METHODS,"To establish eligibility for inclusion in a phase 1b , randomised , double-blind , placebo-controlled , proof-of-concept trial , individuals aged 21-65 years who had had a fever ( 38C ) for less than 48 h , met at least two criteria indicating probable dengue infection , and had a positive result on a dengue point-of-care test kit or PCR assay were referred for screening at a centre in Singapore between July 30 , 2012 , and March 4 , 2013 ."
5703,METHODS,"Using a web-based system , we randomly assigned patients who met full inclusion criteria after screening ( 1:1 ; random permuted block length four ) to celgosivir ( initial 400 mg loading dose within 6 h of randomisation , followed by 200 mg every 12 h for a total of nine doses ) or matched placebo ."
5704,METHODS,Patients and the entire study team were masked to group assignment .
5705,METHODS,"The primary endpoints were mean virological log reduction ( VLR ) from baseline for days 2 , 3 , and 4 , and area under the fever curve ( AUC ) for a temperature above 37C from 0 h to 96 h. Efficacy analyses were by intention to treat ."
5706,METHODS,"This study is registered with ClinicalTrials.gov , number NCT01619969 ."
5707,RESULTS,"We screened 69 patients and randomly assigned 50 ( 24 to celgosivir , 26 to placebo ) ."
5708,RESULTS,"Mean VLR was greater in the celgosivir group ( -186 , SD 107 ) than in the placebo group ( -164 , 075 ) , but the difference was non-significant ( -022 , 90 % CI -065 to 022 ; one-sided p = 0203 ) ."
5709,RESULTS,"The mean AUC was also higher in the celgosivir group ( 5492 , SD 3104 ) than in the placebo group ( 4072 , 1869 ) , but again the difference was non-significant ( 1420 , 90 % CI 216-2625 ; one-sided p = 0973 ) ."
5710,RESULTS,We noted similar incidences of adverse events between groups .
5711,CONCLUSIONS,"Although generally safe and well tolerated , celgosivir does not seem to reduce viral load or fever burden in patients with dengue ."
5712,BACKGROUND,STOP Dengue Translational Clinical Research .
5713,OBJECTIVE,"Patients with cirrhosis have reduced exercise tolerance , measured objectively as decreased peak exercise oxygen uptake ( peak VO2 ) ."
5714,OBJECTIVE,Reduced peak VO2 is associated with decreased survival time .
5715,OBJECTIVE,The effect of aerobic exercise training on peak VO2 has not been well studied in patients with cirrhosis .
5716,OBJECTIVE,"We evaluated the safety and efficacy of 8 weeks of supervised exercise on peak VO2 , quadriceps muscle thickness , and quality of life ."
5717,METHODS,"In a prospective pilot study , stable patients ( 79 % male , 57.6 6.7 years old ) with Child-Pugh class A or B cirrhosis ( mean Model for End-Stage Liver Disease score , 10 2.2 ) were randomly assigned to groups that received exercise training ( n = 9 ) or usual care ( controls , n = 10 ) at the University of Alberta Hospital in Canada from February through June 2013 ."
5718,METHODS,Supervised exercise was performed on a cycle ergometer 3 days/week for 8 weeks at 60 % -80 % of baseline peak VO2 .
5719,METHODS,"Peak VO2 , quadriceps muscle thickness ( measured by ultrasound ) , thigh circumference , answers from Chronic Liver Disease Questionnaires , EQ-visual analogue scales , 6-minute walk distance , and Model for End-Stage Liver Disease scores were evaluated at baseline and at week 8 ."
5720,METHODS,Analysis of covariance was used to compare variables .
5721,RESULTS,"At week 8 , peak VO2 was 5.3 mL/kg/min higher in the exercise group compared with controls ( 95 % confidence interval , 2.9-7 .8 ; P = .001 ) ."
5722,RESULTS,"Thigh circumference ( P = .001 ) , thigh muscle thickness ( P = .01 ) , and EQ-visual analogue scale determined self-perceived health status ( P = .01 ) was also significantly higher in the exercise group compared with controls at week 8 ; fatigue subscores of the Chronic Liver Disease Questionnaires were lower in the exercise group compared with controls ( P = .01 ) ."
5723,RESULTS,No adverse events occurred during cardiopulmonary exercise testing or training .
5724,CONCLUSIONS,"In a controlled prospective pilot trial , 8 weeks of supervised aerobic exercise training increased peak VO2 and muscle mass and reduced fatigue in patients with cirrhosis ."
5725,CONCLUSIONS,No relevant adverse effects were observed .
5726,CONCLUSIONS,Larger trials are needed to evaluate the effects of exercise in patients with cirrhosis .
5727,CONCLUSIONS,ClinicalTrials.gov number : NCT01799785 .
5728,OBJECTIVE,Guidelines consider certain probiotics useful in the management of acute gastroenteritis .
5729,OBJECTIVE,This study evaluated the use of Lactobacillus ( L ) reuteri DSM 17938 .
5730,METHODS,"A multicentre , randomised , single-blind clinical trial was performed in hospitalised children with acute gastroenteritis lasting 12-72 h. Children received conventional therapy with , or without , 1 10 ( 8 ) CFU of L. reuteri DSM 17938 for 5 days ."
5731,METHODS,The primary endpoint was the duration of diarrhoea and secondary outcomes were days of hospitalisation and the percentage of children with diarrhoea after each day of treatment .
5732,RESULTS,We compared 64 children receiving L. reuteri with 63 controls .
5733,RESULTS,"Lactobacillus reuteri reduced the duration of diarrhoea after 24 h ( p < 0.001 ) and more diarrhoea-free children were seen in the L. reuteri than control group after 24 and 48 h ( 50 % versus 5 % , p < 0.001 ) and 72 h ( 69 % versus 11 % , p < 0.001 ) ."
5734,RESULTS,"Lactobacillus reuteri reduced mean hospital stays ( 4.31 1.3 days versus 5.46 1.77 days , p < 0.001 ) ."
5735,RESULTS,"Prolonged diarrhoea occurred in 17 % of the controls , but none of the L. reuteri group ."
5736,RESULTS,No adverse effects were reported .
5737,CONCLUSIONS,Lactobacillus reuteri effectively reduced the duration of acute diarrhoea and hospital stays in children hospitalised with acute gastroenteritis .
5738,CONCLUSIONS,Outpatient data are now required .
5739,OBJECTIVE,To compare postoperative voice recovery time of vocal polyps treated with different power levels of CO2 laser and conventional laryngeal microsurgery on vocal polyps .
5740,METHODS,"Two hundred patients with vocal polyps were randomly divided into four groups , which were respectively treated with conventional laryngeal microsurgery and different power levels of CO2 laser ( 2 W , 4 W and 6 W ) under laryngoscope ."
5741,METHODS,The postoperative voice recovery time were analyzed .
5742,RESULTS,All vocal polyps were resected at one time without any serious complications like dyspnea or bleeding .
5743,RESULTS,"The postoperative voice recovery time were 7.2 days for the group of patients received conventional laryngeal microsurgery and 7.6 days for the group of patients treated with 2 W CO2 laser , which were hoch significantly different from that in the group of patients treated with 6 W CO2 laser ( P < 0.05 ) ."
5744,CONCLUSIONS,The postoperative recovery time of patients treated with conventional laryngeal microsurgery and small power of CO2 laser is shorter than those operated with the other larger power of CO2 laser .
5745,OBJECTIVE,Low-intensity pulsed ultrasound ( LIPUS ) has been used successfully to accelerate healing of fresh fractures and non-unions .
5746,OBJECTIVE,It also improved callus maturation with distraction osteogenesis in animal trials .
5747,OBJECTIVE,"However , only few clinical studies are available to support its widespread use for the latter indication in humans ."
5748,METHODS,Twenty-one patients undergoing callus distraction for posttraumatic tibial defects were randomized into two groups : the trial group ( 12 men ; mean age 32 years ) which received 20 minutes LIPUS daily during treatment and the control group ( six men and three women ; mean age 29 years ) without LIPUS treatment .
5749,METHODS,The Ilizarov ring fixator was used in all cases .
5750,METHODS,"Results were examined clinically and radiologically , analysing callus maturation with a computer-assisted measurement ."
5751,RESULTS,Patients in the LIPUS group needed a mean of 33 days to consolidate every 1 cm of new bone in comparison to 45 days in the control group .
5752,RESULTS,The healing index was therefore shortened by 12 days/cm in the LIPUS group .
5753,RESULTS,This means that callus maturation was 27 % faster in the LIPUS group .
5754,RESULTS,The fixator time was shortened by 95 days in the LIPUS group .
5755,RESULTS,The overall daily increase in radiographic callus density was 33 % more in the LIPUS group than in the control group .
5756,CONCLUSIONS,LIPUS treatment is an effective non-invasive adjuvant method to enhance callus maturation in distraction osteogenesis .
5757,CONCLUSIONS,"With the help of this treatment , the healing time and the duration of external fixation can be reliably shortened ."
5758,BACKGROUND,Anatomical suitability for arteriovenous fistula ( AVF ) formation was formerly determined by clinical examination alone .
5759,BACKGROUND,There are potential benefits from imaging to assess anatomical suitability .
5760,BACKGROUND,Existing studies examined the role of routine preoperative ultrasonography versus clinical examination alone .
5761,BACKGROUND,The role of a selective duplex ultrasound imaging policy is unknown .
5762,BACKGROUND,This study aimed to compare a policy of selective versus routine ultrasound assessment before AVF formation .
5763,METHODS,All patients referred for fistula formation were assessed for inclusion .
5764,METHODS,Suitable patients were randomized to either routine or selective preoperative ultrasound imaging ; selective imaging was performed only when clinical criteria were not met .
5765,METHODS,"The primary outcome measures were site of AVF formation and 30-day primary failure rate , and secondary outcome measures included the rate of complications ."
5766,RESULTS,"A total of 106 patients were assessed , and 94 were randomized : 47 to selective and 47 to routine duplex ultrasonography ."
5767,RESULTS,"The groups were well matched for age , co-morbidities and medications ."
5768,RESULTS,The primary failure rate ( 29 per cent overall ) was not significantly different between the selective and routine imaging groups : 36 per cent ( 14 of 39 ) and 21 per cent ( 8 of 38 ) respectively ( P = 0144 ) .
5769,RESULTS,There were no significant differences in the sites of AVF formation or complication rates .
5770,CONCLUSIONS,"Routine preoperative ultrasound vessel imaging did not significantly reduce early failure rates , influence the site of AVF formation or reduce complications ."
5771,CONCLUSIONS,"If clinical evaluation detects anatomy suitable for AVF formation , duplex imaging may not be needed ."
5772,BACKGROUND,NCT01004627 ( http://www.clinicaltrials.gov ) .
5773,BACKGROUND,Medication adherence is critical for patient treatment .
5774,BACKGROUND,This study involved evaluating how implementing Short Message Service ( SMS ) reminders affected patient medication adherence and related factors .
5775,METHODS,We used a structured questionnaire to survey outpatients at three medical centers .
5776,METHODS,Patients aged 20 years and older who were prescribed more than 7 days of a prescription medication were randomized into SMS intervention or control groups .
5777,METHODS,The intervention group received daily messages reminding them of aspects regarding taking their medication ; the control group received no messages .
5778,METHODS,A phone follow-up was performed to assess outcomes after 8 days .
5779,METHODS,Data were collected from 763 participants in the intervention group and 435 participants in the control group .
5780,RESULTS,"After participants in the intervention group received SMS reminders to take medication or those in the control group received no messages , incidences of delayed doses were decreased by 46.4 and 78.8 % for those in the control and intervention groups , respectively ."
5781,RESULTS,The rate of missed doses was decreased by 90.1 % for participants in the intervention group and 61.1 % for those in the control group .
5782,RESULTS,We applied logistic regression analysis and determined that participants in the intervention group had a 3.2-fold higher probability of having a decrease in delayed doses compared with participants in the control group .
5783,RESULTS,Participants in the intervention group also showed a 2.2-fold higher probability of having a decrease in missed doses compared with participants in the control group .
5784,CONCLUSIONS,Use of SMS significantly affected the rates of taking medicine on schedule .
5785,CONCLUSIONS,"Therefore , daily SMS could be useful for reminding patients to take their medicine on schedule ."
5786,OBJECTIVE,Olfactory loss impairs the patient 's quality of life .
5787,OBJECTIVE,"In individualized therapies , olfactory drug effects gain clinical importance ."
5788,OBJECTIVE,"Molecular evidence suggests that among drugs with potential olfactory effects is ( 9 ) - tetrahydrocannabinol ( THC ) , which is approved for several indications , including neuropathic pain or analgesia in cancer patients ."
5789,OBJECTIVE,The present study aimed at assessing the olfactory effects of THC to be expected during analgesic treatment .
5790,METHODS,"The effects of 20mg oral THC on olfaction were assessed in a placebo-controlled , randomized cross-over study in healthy volunteers ."
5791,METHODS,"Using an established olfactory test ( Sniffin ' Sticks ) , olfactory thresholds , odour discrimination and odour identification were assessed in 15 subjects at baseline and 2h after THC administration ."
5792,RESULTS,( 9 ) - Tetrahydrocannabinol impaired the performance of subjects ( n = 15 ) in the olfactory test .
5793,RESULTS,"Specifically , olfactory thresholds were increased and odour discrimination performance was reduced ."
5794,RESULTS,"This resulted in a significant drop in composite threshold , discrimination , identification ( TDI ) olfactory score by 5.5 points ( from 37.7 4.2 to 32.2 5.6 , 95 % confidence interval for differences THCvs ."
5795,RESULTS,"placebo , -7.8 to -2.0 , P = 0.003 ) , which is known to be a subjectively perceptible impairment of olfactory function ."
5796,CONCLUSIONS,"Considering the resurgence of THC in medical use for several pathological conditions , the present results indicate that THC-based analgesics may be accompanied by subjectively noticeable reductions in olfactory acuity ."
5797,CONCLUSIONS,"In particular , for patients relying on their sense of smell , this might be relevant information for personalized therapy strategies ."
5798,OBJECTIVE,The purpose of this study was to examine the feasibility of core stabilization exercise with real-time feedback on balance and gait function in patients with chronic hemiparetic stroke .
5799,METHODS,Nineteen stroke subjects were enrolled in this study .
5800,METHODS,The patients were randomly divided into the experimental ( n = 10 ) and control groups ( n = 9 ) .
5801,METHODS,Subjects in the experimental group performed core stabilization exercise with real-time feedback training for 30 minutes per day during a period of six weeks .
5802,METHODS,Subjects in the control group performed core stabilization exercise during the same period .
5803,METHODS,"This study assessed the kinematic parameters using a portable walkway system , and timed up-and-go test ."
5804,RESULTS,Gait velocity showed significantly greater improvement in the experimental group ( 7.3 5.0 sec ) than in the control group ( -0.7 10.6 ) .
5805,RESULTS,Stride length showed significantly greater increase in the experimental group ( 13.2 7.9 on the affected side and 12.6 8.0 on the less affected side ) than the control group ( 3.5 8.7 on the affected side and 3.4 8.5 on the less affected side ) .
5806,RESULTS,"After training , change in results on the timed up and go test was significantly greater in the experimental group than in the control group ."
5807,CONCLUSIONS,Core stabilization exercise using real-time feedback produces greater improvement in gait performance in chronic hemiparetic stroke patients than core stabilization exercise only .
5808,BACKGROUND,Interparental violence is both common and harmful and impacts children 's lives directly and indirectly .
5809,BACKGROUND,"Direct effects refer to affective , behavioral , and cognitive responses to interparental violence and psychosocial adjustment ."
5810,BACKGROUND,Indirect effects refer to deteriorated parental availability and parent-child interaction .
5811,BACKGROUND,"Standard Trauma Focused Cognitive Behavioral Therapy may be insufficient for children traumatized by exposure to interparental violence , given the pervasive impact of interparental violence on the family system ."
5812,BACKGROUND,HORIZON is a trauma focused cognitive behavioral therapy based group program with the added component of a preparatory parenting program aimed at improving parental availability ; and the added component of parent-child sessions to improve parent-child interaction .
5813,METHODS,"This is a multicenter , multi-informant and multi-method randomized clinical trial study with a 2 by 2 factorial experimental design ."
5814,METHODS,"Participants ( N = 100 ) are children ( 4-12 years ) , and their parents , who have been exposed to interparental violence ."
5815,METHODS,The main aim of the study is to test the effects of two parental components as an addition to a trauma focused cognitive behavioral based group therapy for reducing children 's symptoms .
5816,METHODS,"Primary outcome measures are posttraumatic stress symptoms , and internalizing and externalizing problems in children ."
5817,METHODS,"The secondary aim of the study is to test the effect of the two added components on adjustment problems in children and to test whether enhanced effects can be explained by changes in children 's responses towards experienced violence , in parental availability , and in quality of parent-child interaction ."
5818,METHODS,"To address this secondary aim , the main parameters are observational and questionnaire measures of parental availability , parent-child relationship variables , children 's adjustment problems and children 's responses to interparental violence ."
5819,METHODS,Data are collected three times : before and after the program and six months later .
5820,METHODS,Both intention-to-treat and completer analyses will be done .
5821,CONCLUSIONS,The current study will enhance our understanding of the efficacy interparental violence-related parental components added to trauma focused cognitive behavioral group program for children who have been exposed to IPV .
5822,CONCLUSIONS,"It will illuminate mechanisms underlying change by considering multiple dimensions of child responses , parenting variables and identify selection criteria for participation in treatment ."
5823,BACKGROUND,Netherlands Trial Register NTR4015 .
5824,BACKGROUND,"Registered 4th of June , 2013 ."
5825,OBJECTIVE,The epilepsy treatment gap is largest in resource-poor countries .
5826,OBJECTIVE,We evaluated the efficacy of a 1-day health education program in a rural area of Kenya .
5827,OBJECTIVE,"The primary outcome was adherence to antiepileptic drugs ( AEDs ) as measured by drug levels in the blood , and the secondary outcomes were seizure frequency and Kilifi Epilepsy Beliefs and Attitudes Scores ( KEBAS ) ."
5828,METHODS,Seven hundred thirty-eight people with epilepsy ( PWE ) and their designated supporter were randomized to either the intervention ( education ) or nonintervention group .
5829,METHODS,Data were collected at baseline and 1year after the education intervention was administered to the intervention group .
5830,METHODS,There were 581 PWE assessed at both time points .
5831,METHODS,"At the end of the study , 105 PWE from the intervention group and 86 from the nonintervention group gave blood samples , which were assayed for the most commonly used AEDs ( phenobarbital , phenytoin , and carbamazepine ) ."
5832,METHODS,The proportions of PWE with detectable AED levels were determined using a standard blood assay method .
5833,METHODS,The laboratory technicians conducting the assays were blinded to the randomization .
5834,METHODS,Secondary outcomes were evaluated using questionnaires administered by trained field staff .
5835,METHODS,"Modified Poisson regression was used to investigate the factors associated with improved adherence ( transition from nonoptimal AED level in blood at baseline to optimal levels at follow-up ) , reduced seizures , and improved KEBAS , which was done as a post hoc analysis ."
5836,METHODS,This trial is registered in ISRCTN register under ISRCTN35680481 .
5837,RESULTS,"There was no significant difference in adherence to AEDs based on detectable drug levels ( odds ratio [ OR ] 1.46 , 95 % confidence interval [ 95 % CI ] 0.74-2 .90 , p = 0.28 ) or by self-reports ( OR 1.00 , 95 % CI 0.71-1 .40 , p = 1.00 ) between the intervention and nonintervention group ."
5838,RESULTS,"The intervention group had significantly fewer beliefs about traditional causes of epilepsy , cultural treatment , and negative stereotypes than the nonintervention group ."
5839,RESULTS,There was no difference in seizure frequency .
5840,RESULTS,A comparison of the baseline and follow-up data showed a significant increase in adherence-intervention group ( 36-81 % [ p < 0.001 ] ) and nonintervention group ( 38-74 % [ p < 0.001 ] ) - using detectable blood levels .
5841,RESULTS,The number of patients with less frequent seizures ( 3 seizures in the last 3months ) increased in the intervention group ( 62-80 % [ p = 0.002 ] ) and in the nonintervention group ( 67-75 % [ p = 0.04 ] ) .
5842,RESULTS,"Improved therapeutic adherence ( observed in both groups combined ) was positively associated with positive change in beliefs about risks of epilepsy ( relative risk [ RR ] 2.00 , 95 % CI 1.03-3 .95 ) and having nontraditional religious beliefs ( RR 2.01 , 95 % CI 1.01-3 .99 ) ."
5843,RESULTS,"Reduced seizure frequency was associated with improved adherence ( RR 1.72 , 95 % CI 1.19-2 .47 ) ."
5844,RESULTS,"Positive changes in KEBAS were associated with having tertiary education as compared to none ( RR 1.09 , 95 % CI 1.05-1 .14 ) ."
5845,CONCLUSIONS,"Health education improves knowledge about epilepsy , but once only contact does not improve adherence ."
5846,CONCLUSIONS,"However , sustained education may improve adherence in future studies ."
5847,BACKGROUND,"Vaccine effectiveness is usually determined in randomized controlled trials ( RCT ) and if effective , additional information , e.g. on cost-effectiveness , is required to allow evidence-based decision making ."
5848,BACKGROUND,"A prerequisite for proper health economic modelling is the availability of good quality data on health care resources use , health outcomes and quality-of-life ( QoL ) data ."
5849,BACKGROUND,The `` Collecting health outcomes and economic data on hospitalized Community Acquired Pneumonia ( CHO-CAP ) -- a prospective cohort study '' is executed alongside the Community Acquired Pneumonia Immunization Trial with Adults ( CAPiTA trial ) to capture health outcomes and economic data of elderly hospitalized with CAP and matched controls without CAP .
5850,METHODS,"CAPiTA is a placebo-controlled double-blind RCT evaluating the effectiveness of a 13-valent conjugated pneumococcal vaccine in preventing vaccine-type pneumococcal CAP in 84,496 elderly in the Netherlands ."
5851,METHODS,"Participants of CAPiTA , who consented and provided information on health status ( EQ-5D ) and socio-demographic background at the time of vaccination , constitute the source population of CHO-CAP and are eligible for the nested matched cohort study ."
5852,METHODS,CHO-CAP patients hospitalized with CAP form the `` diseased '' cohort and the `` non-diseased '' cohort consists of unaffected persons ( i.e. no CAP ) .
5853,METHODS,"Observations in the diseased cohort and in matched controls from the non-diseased cohort are used to determine excess costs and QoL changes attributable to CAP.Based on an estimated 2,000 CAPiTA participants being hospitalized with CAP and an assumed CHO-CAP participation rate of 30 % of all CAPiTA participants ( 25,000 ) , 600 CAP episodes are expected among CHO-CAP participants ( the `` diseased '' cohort ) ."
5854,METHODS,"For each patient with CAP , two non-diseased CHO-CAP subjects will be selected from the CHO-CAP cohort , with matching for age , gender and EQ-5D baseline-score ."
5855,METHODS,"Data on healthcare and non-healthcare resources use , quality-of-life ( using EQ-5D and SF-36 questionnaires ) and selected health outcomes will be collected at 0 , 1 , 6 and 12 months after hospitalization for CAP.The CHO-CAP study was approved by the Central Committee on Research involving Human Subjects in the Netherlands ."
5856,CONCLUSIONS,With an expected 600 CAP episodes this study will be one of the biggest prospectively studied cohorts of hospitalized elderly with CAP with regard to resources use and Qol data .
5857,CONCLUSIONS,Strengths of this study further include collection of out-of-pocket costs of patients and productivity losses of both patients and their caregivers and the follow-up period of up to one year post-discharge .
5858,CONCLUSIONS,This study is therefore expected to add more in-depth knowledge on the short and longer term outcomes of pneumonia in elderly .
5859,BACKGROUND,"ClinicalTrials.gov , NCT00812084 ."
5860,OBJECTIVE,The role of vascular closure devices ( VCD ) for the achievement of hemostasis in patients undergoing transfemoral coronary angiography remains controversial .
5861,OBJECTIVE,"To compare outcomes with the use of 2 hemostasis strategies after diagnostic coronary angiography performed via transfemoral access-a VCD-based strategy with 2 types of devices , an intravascular device and an extravascular device , vs standard manual compression ."
5862,OBJECTIVE,The primary hypothesis to be tested was that femoral hemostasis achieved through VCD is noninferior to manual compression in terms of vascular access-site complications .
5863,OBJECTIVE,A secondary objective was the comparison of the 2 types of VCD .
5864,METHODS,"Randomized , large-scale , multicenter , open-label clinical trial ."
5865,METHODS,We enrolled 4524 patients undergoing coronary angiography with a 6 French sheath via the common femoral artery from April 2011 through May 2014 in 4 centers in Germany .
5866,METHODS,Last 30-day follow-up was performed in July 2014 .
5867,METHODS,"After angiography of the access site , patients were randomized to hemostasis with an intravascular VCD , extravascular VCD , or manual compression in a 1:1:1 ratio ."
5868,METHODS,Primary end point : the composite of access site-related vascular complications at 30 days after randomization with a 2 % noninferiority margin .
5869,METHODS,"Secondary end points : time to hemostasis , repeat manual compression , and VCD failure ."
5870,METHODS,An - level of .025 was chosen for primary and secondary comparisons .
5871,RESULTS,"Of the 4524 enrolled patients , 3015 were randomly assigned to a VCD group ( 1509 received intravascular VCD and 1506 received extravascular VCD ) and 1509 patients were randomly assigned to the manual compression group ."
5872,RESULTS,"Before hospital discharge , duplex sonography of the access site was performed in 4231 ( 94 % ) patients ."
5873,RESULTS,"The primary end point was observed in 208 patients ( 6.9 % ) assigned to receive a VCD and 119 patients ( 7.9 % ) assigned to manual compression ( difference , -1.0 % [ 1-sided 97.5 % CI , 0.7 % ] ; P for noninferiority < .001 ) ."
5874,RESULTS,"Time to hemostasis was significantly shorter in patients with VCD ( 1 minute [ interquartile range { IQR } , 0.5-2 .0 ] ) , vs manual compression ( 10 minutes [ IQR , 10-15 ] ; P < .001 ) ."
5875,RESULTS,"Time to hemostasis was significantly shorter among patients with intravascular VCD ( 0.5 minute [ IQR , 0.2-1 .0 ] ) , vs extravascular VCD ( 2.0 minutes [ IQR , 1.0-2 .0 ] ; P < .001 ) and closure device failure was also significantly lower among those with intravascular vs extravascular VCD ( 80 patients [ 5.3 % ] , vs 184 patients [ 12.2 % ] ; P < .001 ) ."
5876,CONCLUSIONS,"In patients undergoing transfemoral coronary angiography , VCDs were noninferior to manual compression in terms of vascular access-site complications and reduced time to hemostasis ."
5877,BACKGROUND,clinicaltrials.gov Identifier : NCT01389375 .
5878,OBJECTIVE,Maximizing ART efficiency is of growing interest .
5879,OBJECTIVE,"This study assessed the efficacy , safety , pharmacokinetics and economics of a darunavir dose-reduction strategy ."
5880,METHODS,"This was a multicentre , randomized , open-label clinical trial in HIV-infected patients with plasma HIV-1 RNA < 50 copies/mL while receiving triple ART including 800 mg of darunavir once daily ."
5881,METHODS,"Participants were randomized to continue 800 mg of darunavir ( DRV800 ) or to 600 mg of darunavir ( DRV600 ) , both once daily ."
5882,METHODS,Treatment failure was defined as two consecutive HIV-1 RNA determinations > 50 copies/mL or discontinuation of study treatment by week 48 .
5883,METHODS,The study was registered at https://www.clinicaltrialsregister.eu ( trial number 2011-006272-39 ) .
5884,RESULTS,Fifty participants were allocated to each arm .
5885,RESULTS,The mean ( SD ) CD4 + T cell count at baseline was 562 ( 303 ) cells/mm ( 3 ) and HIV-1 RNA had been < 50 copies/mL for a median ( IQR ) of 106.9 ( 43.4-227 .9 ) weeks before enrolment .
5886,RESULTS,"At week 48 no treatment failure had occurred in 45/50 ( 90 % ) DRV600 patients and in 47/50 ( 94 % ) DRV800 patients ( difference -4 % ; 95 % CI lower limit , -12.9 % ) ."
5887,RESULTS,"When only patients with virological data were considered , that endpoint was met by 45/48 ( 94 % ) in the DRV600 arm and 47/49 ( 96 % ) in the DRV800 arm ( difference -2.2 % ; 95 % CI lower limit , -9.6 % ) ."
5888,RESULTS,Darunavir exposure was similar in the two arms .
5889,RESULTS,The average reduction in annual cost per successfully treated DRV600-arm patient was US$ 7273 .
5890,CONCLUSIONS,The efficacy of a darunavir daily dose of 600 mg seemed to be similar to the efficacy of the standard 800 mg dose in virologically suppressed HIV-infected patients on triple ART .
